District,Cumulative number of persons under observation as on today,Cumulative number of persons under home usolation as on today,Cumulative number of symptomatic passengers/ persons hospitalized as on today,Number of persons discharged from home isolation today,Date,No. of persons hospitalized today
Kottayam,2280,2280,0,,14/04/20,0
Alappuzha ,6686,6675,11,,14/04/20,1
Ernakulam,1657,1629,28,,14/04/20,4
Thrissur,9316,9304,12,,14/04/20,2
Palakkad,14216,14180,36,,14/04/20,15
Malappuram,12189,12166,23,,14/04/20,11
Kozhikode,16240,16211,29,,14/04/20,5
Wayanad,9504,9499,5,,14/04/20,0
Kannur,7758,7644,114,,14/04/20,18
Kasargod,9641,9457,184,,14/04/20,4
Thiruvananthapuram,2539,2433,106,,15/04/20,28
Kollam,4591,4581,10,,15/04/20,2
Pathanamthitta,5738,5723,15,,15/04/20,2
Idukki ,3497,3497,0,,15/04/20,0
Kottayam,1824,1824,0,,15/04/20,0
Alappuzha ,6895,6885,10,,15/04/20,0
Ernakulam,1289,1262,27,,15/04/20,2
Thrissur,8148,8138,10,,15/04/20,1
Palakkad,13128,13088,40,,15/04/20,14
Malappuram,10331,10309,22,,15/04/20,12
Kozhikode,14173,14149,24,,15/04/20,4
Wayanad,9097,9091,6,,15/04/20,2
Kannur,7013,6898,115,,15/04/20,14
Kasargod,9201,9064,137,,15/04/20,5
Thiruvananthapuram,2359,2243,116,,16/04/20,26
Kollam,3967,3956,11,,16/04/20,5
Pathanamthitta,5012,4997,15,,16/04/20,2
Idukki ,3146,3146,0,,16/04/20,0
Kottayam,1782,1782,0,,16/04/20,0
Alappuzha ,6131,6122,9,,16/04/20,2
Ernakulam,999,978,21,,16/04/20,1
Thrissur,6944,6933,11,,16/04/20,4
Palakkad,13059,13026,33,,16/04/20,3
Malappuram,8708,8670,38,,16/04/20,20
Kozhikode,12875,12847,28,,16/04/20,15
Wayanad,8787,8782,5,,16/04/20,1
Kannur,6706,6584,122,,16/04/20,15
Kasargod,8380,8266,114,,16/04/20,14
Thiruvananthapuram,2155,2042,113,,17/04/20,21
Kollam,3640,3629,11,,17/04/20,4
Pathanamthitta,4050,4034,16,,17/04/20,2
Idukki ,2897,2896,1,,17/04/20,1
Kottayam,1363,1363,0,,17/04/20,0
Alappuzha ,5341,5332,9,,17/04/20,0
Ernakulam,696,677,19,,17/04/20,3
Thrissur,5701,5690,11,,17/04/20,2
Palakkad,12077,12047,30,,17/04/20,7
Malappuram,7833,7792,41,,17/04/20,13
Kozhikode,11586,11555,31,,17/04/20,7
Wayanad,7973,7968,5,,17/04/20,0
Kannur,5767,5640,127,,17/04/20,15
Kasargod,7901,7789,112,,17/04/20,9
Thiruvananthapuram,1811,1698,113,,18/04/20,16
Kollam,3266,3257,9,,18/04/20,1
Pathanamthitta,2858,2844,14,,18/04/20,2
Idukki ,2449,2445,4,,18/04/20,3
Kottayam,1312,1312,0,,18/04/20,0
Alappuzha ,4773,4767,6,,18/04/20,1
Ernakulam,378,358,20,,18/04/20,8
Thrissur,4562,4552,10,,18/04/20,1
Palakkad,10417,10386,31,,18/04/20,9
Malappuram,6684,6644,40,,18/04/20,19
Kozhikode,10012,9987,25,,18/04/20,6
Wayanad,6877,6873,4,,18/04/20,3
Kannur,5934,5823,111,,18/04/20,25
Kasargod,5857,5740,117,,18/04/20,10
Thiruvananthapuram,1770,1660,110,,19/04/20,23
Kollam,2494,2485,9,,19/04/20,1
Pathanamthitta,1710,1703,7,,19/04/20,0
Idukki ,2185,2181,4,,19/04/20,1
Kottayam,1069,1069,0,,19/04/20,0
Alappuzha ,3888,3883,5,,19/04/20,1
Ernakulam,228,210,18,,19/04/20,2
Thrissur,2714,2706,8,,19/04/20,0
Palakkad,8728,8694,34,,19/04/20,8
Malappuram,5727,5704,23,,19/04/20,13
Kozhikode,8428,8400,28,,19/04/20,8
Wayanad,5468,5462,6,,19/04/20,3
Kannur,5987,5881,106,,19/04/20,10
Kasargod,5194,5091,103,,19/04/20,2
Thiruvananthapuram,1510,1413,97,,20/04/20,18
Kollam,2041,2030,11,,20/04/20,2
Pathanamthitta,1144,1138,6,,20/04/20,0
Idukki ,1950,1946,4,,20/04/20,0
Kottayam,603,603,0,,20/04/20,0
Alappuzha ,2973,2968,5,,20/04/20,0
Ernakulam,186,173,13,,20/04/20,3
Thrissur,971,963,8,,20/04/20,1
Palakkad,7030,6992,38,,20/04/20,9
Malappuram,5713,5683,30,,20/04/20,7
Kozhikode,7494,7472,22,,20/04/20,3
Wayanad,4821,4814,7,,20/04/20,1
Kannur,5133,5030,103,,20/04/20,12
Kasargod,4754,4700,54,,20/04/20,6
Thiruvananthapuram,1387,1349,38,,21/04/20,38
Kollam,1579,1564,15,,21/04/20,4
Pathanamthitta,745,738,7,,21/04/20,1
Idukki ,1780,1775,5,,21/04/20,1
Kottayam,571,571,0,,21/04/20,0
Alappuzha ,2294,2294,0,,21/04/20,0
Ernakulam,153,140,13,,21/04/20,5
Thrissur,869,861,8,,21/04/20,0
Palakkad,4974,4942,32,,21/04/20,6
Malappuram,4656,4631,25,,21/04/20,13
Kozhikode,5203,5176,27,,21/04/20,9
Wayanad,3472,3464,8,,21/04/20,1
Kannur,4365,4263,102,,21/04/20,17
Kasargod,4619,4567,52,,21/04/20,7
Thiruvananthapuram,1394,1356,38,,22/04/20,9
Kollam,1535,1513,22,,22/04/20,10
Pathanamthitta,987,981,6,,22/04/20,0
Idukki ,1441,1438,3,,22/04/20,0
Kottayam,63,63,0,,22/04/20,0
Alappuzha ,1818,1816,2,,22/04/20,2
Ernakulam,149,134,15,,22/04/20,5
Thrissur,875,870,5,,22/04/20,0
Palakkad,3839,3804,35,,22/04/20,11
Malappuram,4126,4096,30,,22/04/20,24
Kozhikode,3803,3775,28,,22/04/20,12
Wayanad,2192,2184,8,,22/04/20,1
Kannur,3238,3140,98,,22/04/20,16
Kasargod,3690,3634,56,,22/04/20,5
Thiruvananthapuram,1489,1445,44,,23/04/20,23
Kollam,1509,1485,24,,23/04/20,6
Pathanamthitta,697,690,7,,23/04/20,1
Idukki ,1336,1332,4,,23/04/20,1
Kottayam,157,156,1,,23/04/20,1
Alappuzha ,1858,1855,3,,23/04/20,1
Ernakulam,152,139,13,,23/04/20,5
Thrissur,814,803,11,,23/04/20,7
Palakkad,3332,3281,51,,23/04/20,21
Malappuram,2465,2395,70,,23/04/20,42
Kozhikode,2770,2734,36,,23/04/20,15
Wayanad,1579,1572,7,,23/04/20,3
Kannur,2592,2482,110,,23/04/20,20
Kasargod,3126,3070,56,,23/04/20,2
Thiruvananthapuram,1581,1538,43,,24/04/20,10
Kollam,1508,1498,10,,24/04/20,3
Pathanamthitta,418,411,7,,24/04/20,3
Idukki ,1419,1409,10,,24/04/20,6
Kottayam,239,236,3,,24/04/20,2
Alappuzha ,1335,1329,6,,24/04/20,3
Ernakulam,294,272,22,,24/04/20,9
Thrissur,747,736,11,,24/04/20,1
Palakkad,3514,3441,73,,24/04/20,30
Malappuram,2677,2583,94,,24/04/20,42
Kozhikode,1680,1632,48,,24/04/20,17
Wayanad,1178,1171,7,,24/04/20,2
Kannur,2542,2435,107,,24/04/20,15
Kasargod,2593,2552,41,,24/04/20,1
Thiruvananthapuram,1920,1873,47,,25/04/20,9
Kollam,1571,1536,35,,25/04/20,25
Pathanamthitta,394,385,9,,25/04/20,2
Idukki ,1336,1327,9,,25/04/20,0
Kottayam,536,531,5,,25/04/20,2
Alappuzha ,1303,1300,3,,25/04/20,0
Ernakulam,389,370,19,,25/04/20,4
Thrissur,802,787,15,,25/04/20,5
Palakkad,3501,3432,69,,25/04/20,19
Malappuram,1925,1894,31,,25/04/20,16
Kozhikode,1193,1135,58,,25/04/20,22
Wayanad,1088,1080,8,,25/04/20,1
Kannur,2711,2591,120,,25/04/20,24
Kasargod,2375,2339,36,,25/04/20,3
Thiruvananthapuram,1976,1915,61,,26/04/20,17
Kollam,1025,990,35,,26/04/20,16
Pathanamthitta,385,375,10,,26/04/20,2
Idukki ,1357,1346,11,,26/04/20,3
Kottayam,650,644,6,,26/04/20,1
Alappuzha ,1259,1256,3,,26/04/20,0
Ernakulam,360,341,19,,26/04/20,1
Thrissur,802,784,18,,26/04/20,5
Palakkad,3472,3416,56,,26/04/20,4
Malappuram,1813,1772,41,,26/04/20,21
Kozhikode,1084,1034,50,,26/04/20,13
Wayanad,1027,1021,6,,26/04/20,2
Kannur,2720,2606,114,,26/04/20,12
Kasargod,2197,2165,32,,26/04/20,2
Thiruvananthapuram,2025,1963,62,,27/04/20,11
Kollam,1143,1110,33,,27/04/20,1
Pathanamthitta,385,376,9,,27/04/20,2
Idukki ,1385,1370,15,,27/04/20,7
Kottayam,727,715,12,,27/04/20,6
Alappuzha ,1282,1279,3,,27/04/20,0
Ernakulam,462,442,20,,27/04/20,1
Thrissur,886,867,19,,27/04/20,1
Palakkad,3408,3352,56,,27/04/20,12
Malappuram,1810,1766,44,,27/04/20,23
Kozhikode,1019,961,58,,27/04/20,26
Wayanad,978,971,7,,27/04/20,1
Kannur,2768,2654,114,,27/04/20,5
Kasargod,2023,1986,37,,27/04/20,8
Thiruvananthapuram,2075,2018,57,,28/04/20,11
Kollam,1184,1148,36,,28/04/20,3
Pathanamthitta,377,367,10,,28/04/20,3
Idukki ,1462,1439,23,,28/04/20,8
Kottayam,1040,1021,19,,28/04/20,7
Alappuzha ,1353,1351,2,,28/04/20,1
Ernakulam,758,736,22,,28/04/20,10
Thrissur,897,878,19,,28/04/20,2
Palakkad,3378,3318,60,,28/04/20,14
Malappuram,1867,1797,70,,28/04/20,60
Kozhikode,1021,968,53,,28/04/20,16
Wayanad,851,842,9,,28/04/20,4
Kannur,2552,2449,103,,28/04/20,10
Kasargod,1958,1923,35,,28/04/20,2
Thiruvananthapuram,2058,2030,28,,29/04/20,5
Kollam,1207,1171,36,,29/04/20,4
Pathanamthitta,215,206,9,,29/04/20,2
Idukki ,1584,1559,25,,29/04/20,3
Kottayam,1256,1238,18,,29/04/20,0
Alappuzha ,1317,1315,2,,29/04/20,0
Ernakulam,766,748,18,,29/04/20,1
Thrissur,912,890,22,,29/04/20,6
Palakkad,3253,3190,63,,29/04/20,15
Malappuram,1554,1464,90,,29/04/20,20
Kozhikode,1125,1077,48,,29/04/20,6
Wayanad,815,804,11,,29/04/20,2
Kannur,2681,2579,102,,29/04/20,19
Kasargod,1930,1901,29,,29/04/20,1
Thiruvananthapuram,2064,2010,54,,30/04/20,13
Kollam,1373,1350,23,,30/04/20,11
Pathanamthitta,139,134,5,,30/04/20,0
Idukki ,1592,1566,26,,30/04/20,3
Kottayam,1393,1375,18,,30/04/20,0
Alappuzha ,1366,1365,1,,30/04/20,0
Ernakulam,714,698,16,,30/04/20,8
Thrissur,989,880,18,,30/04/20,1
Palakkad,3158,3100,58,,30/04/20,6
Malappuram,1524,1507,17,,30/04/20,12
Kozhikode,1223,1181,42,,30/04/20,15
Wayanad,820,807,13,,30/04/20,4
Kannur,2683,2579,104,,30/04/20,16
Kasargod,1764,1733,31,,30/04/20,6
Thiruvananthapuram,2346,2284,62,,01/05/20,17
Kollam,1448,1419,29,,01/05/20,6
Pathanamthitta,139,131,8,,01/05/20,3
Idukki ,1637,1613,24,,01/05/20,0
Kottayam,1584,1566,18,,01/05/20,0
Alappuzha ,1368,1362,6,,01/05/20,5
Ernakulam,831,811,20,,01/05/20,5
Thrissur,905,885,20,,01/05/20,5
Palakkad,3076,3023,53,,01/05/20,23
Malappuram,1538,1523,15,,01/05/20,12
Kozhikode,1311,1275,36,,01/05/20,16
Wayanad,838,825,13,,01/05/20,1
Kannur,2560,2458,102,,01/05/20,10
Kasargod,1918,1892,26,,01/05/20,3
Thiruvananthapuram,2526,2462,64,,02/05/20,11
Kollam,1692,1673,19,,02/05/20,0
Pathanamthitta,152,145,7,,02/05/20,2
Idukki ,1645,1628,17,,02/05/20,0
Kottayam,1665,1647,18,,02/05/20,0
Alappuzha ,1299,1294,5,,02/05/20,0
Ernakulam,859,833,26,,02/05/20,11
Thrissur,943,926,17,,02/05/20,3
Palakkad,3085,3036,49,,02/05/20,11
Malappuram,1610,1582,28,,02/05/20,19
Kozhikode,1321,1287,34,,02/05/20,11
Wayanad,790,780,10,,02/05/20,2
Kannur,2543,2457,86,,02/05/20,2
Kasargod,1764,1734,30,,02/05/20,8
Thiruvananthapuram,2696,2632,64,,03/05/20,8
Kollam,1735,1719,16,,03/05/20,2
Pathanamthitta,127,122,5,,03/05/20,2
Idukki ,1612,1595,17,,03/05/20,1
Kottayam,1721,1703,18,,03/05/20,0
Alappuzha ,1283,1279,4,,03/05/20,0
Ernakulam,907,880,27,,03/05/20,1
Thrissur,947,934,13,,03/05/20,3
Palakkad,3036,2989,47,,03/05/20,10
Malappuram,1591,1563,28,,03/05/20,7
Kozhikode,1047,1015,32,,03/05/20,13
Wayanad,841,835,6,,03/05/20,3
Kannur,2544,2462,82,,03/05/20,7
Kasargod,1633,1604,29,,03/05/20,6
